Date,open,high,low,Close,adj_close,volume_shares
2022-01-13,85.91333,86.186668,82.870003,85.103333,82.380867,65131170
2022-01-14,83.599998,85.766663,83.333336,84.379997,81.680687,44864445
2022-01-17,84.339996,89.16333,84.339996,88.830002,85.988327,72343398
2022-01-18,88.803329,89.653336,87.433334,88.693336,85.856033,37516329
2022-01-19,88.650002,89.293335,83.436668,84.323334,81.625832,69564540
2022-01-20,84.033333,84.57,82.333336,83.690002,81.012772,44995941
2022-01-21,83.693336,85.246666,82.110001,83.466667,80.796562,33718296
2022-01-24,82.026665,84.293335,81.423332,83.800003,81.119247,32513058
2022-01-25,82.666664,83.666664,80.0,80.103333,77.540825,51831669
2022-01-26,81.666664,83.793335,80.769997,83.16333,80.502937,52333752
2022-01-27,82.333336,83.099998,80.333336,80.423332,77.850594,39794889
2022-01-28,79.993332,80.666664,73.253334,75.599998,73.181549,97311933
2022-02-07,80.263336,83.09333,79.336662,81.466667,78.860542,75337359
2022-02-08,81.0,81.0,76.879997,78.989998,76.463112,59711859
2022-02-09,79.683334,82.133331,78.34333,81.726669,79.112236,59978592
2022-02-10,82.256668,82.666664,79.366669,80.040001,77.47953,43885380
2022-02-11,78.683334,80.040001,76.166664,76.730003,74.275406,59831778
2022-02-14,76.73333,78.333336,75.0,77.326668,74.852989,39959847
2022-02-15,77.393333,79.986664,77.393333,79.436668,76.895485,47557284
2022-02-16,80.666664,81.66333,80.129997,80.199997,77.634392,38617473
2022-02-17,80.746666,82.91333,79.666664,81.803329,79.18644,57319158
2022-02-18,80.333336,81.796669,80.0,80.986664,78.395897,29731398
2022-02-21,80.333336,81.933334,79.879997,80.629997,78.050652,32861412
2022-02-22,79.666664,79.666664,78.099998,79.150002,76.617996,37635633
2022-02-23,80.633331,84.173332,79.669998,84.0,81.312843,87344670
2022-02-24,82.703331,83.926666,80.526665,81.620003,79.00898,71465964
2022-02-25,83.300003,84.126663,82.610001,82.613335,79.970535,43804059
2022-02-28,82.300003,83.396667,82.0,83.199997,80.538429,35487270
2022-03-01,85.0,85.536667,83.083336,83.926666,81.241852,52955874
2022-03-02,83.0,83.120003,81.32,82.866669,80.215767,36372741
2022-03-03,83.173332,83.620003,81.333336,81.736664,79.12191,29890020
2022-03-04,79.103333,80.620003,76.666664,77.933334,75.440247,87511902
2022-03-07,75.629997,75.896667,73.339996,74.536667,72.152237,70838760
2022-03-08,73.693336,75.16333,70.0,72.063332,69.758034,87449802
2022-03-09,72.333336,74.533333,70.0,74.529999,72.145782,75340566
2022-03-10,77.636665,77.809998,76.333336,76.366669,73.923698,74502849
2022-03-11,74.0,77.263336,73.339996,76.616669,74.165703,55834812
2022-03-14,75.0,75.0,73.0,73.0,70.664734,45252183
2022-03-15,70.376663,74.0,69.809998,70.933334,68.664185,59461086
2022-03-16,73.666664,76.666664,71.400002,76.476669,74.03019,100129881
2022-03-17,80.126663,80.293335,78.220001,78.300003,75.795189,94753290
2022-03-18,78.300003,79.623337,77.349998,78.166664,75.666115,45164568
2022-03-21,80.0,82.956665,79.389999,81.793335,79.176773,83753304
2022-03-22,81.666664,82.466667,80.673332,81.599998,78.989609,34523721
2022-03-23,83.333336,83.666664,82.089996,82.389999,79.754341,44550288
2022-03-24,81.23333,83.333336,80.800003,82.360001,79.725311,34104381
2022-03-25,82.366669,82.986664,78.003334,78.436668,75.92749,62407119
2022-03-28,78.300003,78.300003,76.293335,76.800003,74.34317,42931062
2022-03-29,77.639999,78.833336,76.266663,77.0,74.536766,41576193
2022-03-30,75.666664,79.006668,74.073334,79.006668,76.479248,75377988
2022-03-31,78.07,78.333336,75.629997,76.599998,74.149567,48519429
2022-04-01,75.596664,79.853333,75.533333,78.653336,76.137222,54884415
2022-04-06,81.666664,82.0,79.870003,80.633331,78.053864,61587990
2022-04-07,80.0,81.766663,79.669998,80.0,77.440796,36809859
2022-04-08,80.003334,82.166664,79.699997,81.326668,78.725037,51515691
2022-04-11,80.0,80.493332,76.5,77.666664,75.182106,57921021
2022-04-12,77.333336,79.519997,77.066666,79.386665,76.847084,38666601
2022-04-13,78.339996,80.650002,77.669998,79.0,76.472786,32901753
2022-04-14,80.666664,81.66333,80.290001,80.43,77.857048,39491250
2022-04-15,79.5,80.0,77.583336,78.73333,76.214653,38771793
2022-04-18,78.263336,80.333336,76.666664,79.699997,77.150391,33177714
2022-04-19,81.053329,83.633331,81.043335,81.620003,79.00898,62334462
2022-04-20,82.553329,82.776665,80.286667,80.59333,78.015144,39234279
2022-04-21,79.256668,80.256668,77.366669,78.013336,75.517693,46214628
2022-04-22,76.669998,78.553329,76.353333,78.466667,75.956512,32007480
2022-04-25,76.666664,78.813332,75.540001,75.833336,73.407433,48566751
2022-04-26,76.330002,78.616669,76.143333,77.269997,74.798134,47452860
2022-04-27,75.536667,78.603333,72.936668,78.336662,75.830673,76302501
2022-04-28,78.199997,78.5,76.666664,77.326668,74.852989,43911639
2022-04-29,77.933334,81.276665,76.916664,81.0,78.408813,74448930
2022-05-05,82.066666,84.129997,80.589996,82.933334,80.280296,75977637
2022-05-06,80.339996,82.0,80.033333,80.693336,78.111961,43646598
2022-05-09,77.0,78.963333,77.0,77.576668,75.094986,52534905
2022-05-10,74.699997,77.886665,74.09333,77.776665,75.288589,62908992
2022-05-11,77.333336,85.553329,77.166664,84.23333,81.538712,137857713
2022-05-12,83.330002,85.900002,82.903336,84.696663,81.987221,72346818
2022-05-13,86.599998,90.5,85.303329,90.026665,87.146713,110136183
2022-05-16,90.370003,91.0,88.433334,89.040001,86.191612,60710640
2022-05-17,89.660004,95.0,89.5,94.166664,91.154274,88046709
2022-05-18,94.166664,96.0,93.0,93.806664,90.805779,61590810
2022-05-19,91.769997,95.116669,91.433334,94.836662,91.802841,52090953
2022-05-20,95.669998,97.203331,93.73333,95.900002,92.832169,53605008
2022-05-23,97.566666,99.333336,95.936668,98.400002,95.25219,76676448
2022-05-24,96.666664,97.653336,93.666664,93.666664,90.670273,87148959
2022-05-25,93.753334,96.216667,92.676666,95.73333,92.670822,69257319
2022-05-26,95.790001,97.073334,94.166664,95.546669,92.490128,42928497
2022-05-27,97.650002,99.203331,95.550003,96.293335,93.212914,45956055
2022-05-30,97.333336,99.900002,97.026665,99.373337,96.194389,65557050
2022-05-31,100.0,100.32,97.836662,98.636665,95.481277,53103357
2022-06-01,99.333336,101.599998,97.706665,99.993332,96.794548,65073525
2022-06-02,98.666664,101.666664,98.40667,100.339996,97.130127,53318331
2022-06-06,101.333336,106.823334,100.849998,106.076668,102.683281,88427187
2022-06-07,106.0,106.623337,103.703331,104.963333,101.605553,60066267
2022-06-08,106.199997,109.353333,104.336662,109.136665,105.645386,87154020
2022-06-09,111.34333,111.599998,107.0,107.470001,104.032036,92262516
2022-06-10,107.166664,116.666664,107.019997,116.266663,112.547287,131474700
2022-06-13,115.333336,119.620003,113.533333,116.266663,112.547287,108204396
2022-06-14,114.0,114.93,109.076668,114.529999,110.86618,121436802
2022-06-15,114.65667,115.410004,110.839996,111.666664,108.094444,91184361
2022-06-16,111.833336,114.23333,111.136665,112.0,108.417122,57051735
2022-06-17,110.033333,113.73333,109.023331,112.666664,109.062462,78644277
2022-06-20,112.693336,116.220001,111.673332,114.059998,110.411224,73624671
2022-06-21,113.253334,113.933334,110.73333,113.666664,110.030464,59348217
2022-06-22,114.139999,115.876663,112.666664,113.293335,109.669083,56036349
2022-06-23,114.900002,118.016663,112.666664,117.833336,114.06385,96942678
2022-06-24,117.66333,118.760002,115.336662,117.016663,113.2733,70795065
2022-06-27,117.356667,119.0,116.110001,116.563332,112.834473,65146572
2022-06-28,115.666664,119.599998,114.236664,117.633331,113.870239,80890413
